"","OTUID","Warming","Control","delta.eaf","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","OTU_1",0.375292498028907,0,0.375292498028907,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc","unknown Nostoc"
"2","OTU_10",0.393345972594159,0.174251359179464,0.219094613414695,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Calotrichaceae","Calothrix","Calothrix sp. NIES-2100"
"3","OTU_10098",0.494933039186639,0,0.494933039186639,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella","Komarekiella sp. clone 1"
"4","OTU_101",0.258555755298878,0,0.258555755298878,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena","Pseudanabaena frigida"
"5","OTU_10142",0.437021738444775,0,0.437021738444775,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc","unknown Nostoc"
"6","OTU_102",0.276802722116006,0,0.276802722116006,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Tolypothrichaceae","Tolypothrix","Tolypothrix tenuis"
"7","OTU_1036",0.204363734936105,0,0.204363734936105,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium","unknown Bradyrhizobium"
"8","OTU_10372",0,0.16118002000173,-0.16118002000173,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella","Komarekiella sp. clone 1"
"9","OTU_1046",0.0910206320108157,0,0.0910206320108157,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Paraburkholderia fungorum"
"10","OTU_1047",0.636220684212228,0.181921455984976,0.454299228227252,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Halotia","Halotia wernerae"
"11","OTU_10566",0.35597169925362,0,0.35597169925362,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","Agrobacterium tumefaciens complex"
"12","OTU_10633",0.354896444902257,0,0.354896444902257,"Bacteria","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","Acidithiobacillus ferrooxidans"
"13","OTU_1066",0.199303496919658,0,0.199303496919658,"Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Rhizomicrobium","Rhizomicrobium electricum"
"14","OTU_1069",0,0.345825755362403,-0.345825755362403,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Tolypothrichaceae","Tolypothrix","Tolypothrix sp. NIES-4075"
"15","OTU_107",0.520072720227,0.151284197812508,0.368788522414492,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc","unknown Nostoc"
"16","OTU_10707",0.380763509452477,0,0.380763509452477,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena","Pseudanabaena frigida"
"17","OTU_1074",0.305866662205336,0.147372536138656,0.15849412606668,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium sp."
"18","OTU_10806",0.167934985393142,0,0.167934985393142,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","Agrobacterium tumefaciens complex"
"19","OTU_109",0.260711771824207,0,0.260711771824207,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc","unknown Nostoc"
"20","OTU_11",0.227253750045296,0,0.227253750045296,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena","Pseudanabaena frigida"
"21","OTU_110784",0.364273730401155,0,0.364273730401155,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","Rhodobacter capsulatus"
